zip_code,latitude,longitude,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,avg_household_size,county,Sector,Total Usage
90027,34.104,-118.2925,51.6483871,51.88928571,52.51612903,58.93333333,60.7516129,64.35666667,74.7516129,74.67419355,69.81,68.76129032,62.20666667,58.44516129,2.03,Los Angeles,Residential,23255.48301
90028,34.1005,-118.3254,51.73870968,51.975,52.59354839,59.02333333,60.83870968,64.44666667,74.83225806,74.7516129,69.88333333,68.84193548,62.27666667,58.53225806,1.68,Los Angeles,Residential,23255.48301
90029,34.09,-118.2944,50.82580645,51.42857143,52.42903226,57.85,60.44193548,63.81333333,71.88709677,72.17741935,68.95333333,67.29677419,60.52666667,56.7,2.52,Los Angeles,Residential,23255.48301
90031,34.0783,-118.2113,50.84193548,51.14642857,52.29354839,58.27,60.86774194,64.35,72.52258065,72.50322581,69.45333333,67.92580645,61.02333333,57.71612903,3.21,Los Angeles,Residential,23255.48301
90032,34.0818,-118.1753,50.72580645,50.76785714,51.95806452,58.69,60.99677419,64.63666667,73.22258065,72.99032258,69.65,67.3516129,60.67333333,57.15806452,3.3,Los Angeles,Residential,23255.48301
90033,34.0487,-118.2084,50.95806452,51.275,52.42580645,58.38,60.97096774,64.47333333,72.62580645,72.62258065,69.56333333,68.04516129,61.14,57.83548387,3.5,Los Angeles,Residential,23255.48301
90034,34.029,-118.4005,51.57096774,52.20357143,53.18387097,58.58666667,61.20645161,64.56,72.62580645,72.94516129,69.7,68.03548387,61.26666667,57.45806452,2.11,Los Angeles,Residential,23255.48301
90035,34.0531,-118.3806,51.57096774,52.20357143,53.18387097,58.58666667,61.20645161,64.56,72.62580645,72.94516129,69.7,68.03548387,61.26666667,57.45806452,2.31,Los Angeles,Residential,23255.48301
90036,34.0699,-118.3492,51.27096774,51.89285714,52.88064516,58.28333333,60.89677419,64.25333333,72.32258065,72.63870968,69.39666667,67.72903226,60.96,57.15806452,1.96,Los Angeles,Residential,23255.48301
90037,34.003,-118.2863,51.29032258,51.67142857,52.9483871,58.08,61.41935484,64.44,71.47419355,71.55806452,69.25,67.03548387,60.64333333,57.32258065,3.82,Los Angeles,Residential,23255.48301
